2026-04-04T12:34:21.008330 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:34:23.352407 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:34:37.171191 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:34:57.329925 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:06.487344 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:07.837164 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:14.537752 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:14.547251 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:16.684551 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:16.693414 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:18.657292 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:18.666125 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:20.356664 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:20.365633 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:22.185314 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:22.194210 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:23.770116 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:23.779402 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:25.623519 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T12:39:25.632428 [PERF] json_bot scope.load: 0ms | scope.to_dict: 0ms
2026-04-04T13:26:02.532898 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:53:45.833202 [PERF] scope file read+parse: 8ms | filter: 0ms
2026-04-04T13:53:45.835758 [PERF] json_story_graph StoryMap build: 1ms | serialize epics: 1ms
2026-04-04T13:53:45.836288 [PERF] json_scope story_graph load: 9ms | graph.to_dict: 2ms
2026-04-04T13:53:45.908403 [PERF] json_bot scope.load: 0ms | scope.to_dict: 84ms
2026-04-04T13:53:55.323969 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:53:55.324868 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:53:55.325572 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:53:55.347517 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:53:55.359644 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:53:55.360602 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:53:55.361047 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:53:55.383593 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:53:57.398606 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:53:57.400061 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:53:57.400781 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:53:57.424142 [PERF] json_bot scope.load: 0ms | scope.to_dict: 26ms
2026-04-04T13:53:57.437988 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:53:57.438848 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:53:57.439303 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:53:57.462057 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:53:59.276791 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:53:59.277776 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:53:59.278143 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:53:59.300052 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:53:59.313182 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:53:59.314413 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:53:59.314771 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:53:59.338095 [PERF] json_bot scope.load: 0ms | scope.to_dict: 25ms
2026-04-04T13:54:01.168104 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:54:01.169027 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:54:01.169676 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:54:01.192064 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:54:01.205117 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:54:01.206095 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:54:01.206505 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:54:01.228765 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:54:03.760301 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:54:03.761154 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:54:03.761772 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:54:03.783814 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:54:03.796634 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:54:03.797464 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:54:03.797825 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:54:03.820120 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:54:05.893643 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:54:05.894503 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
2026-04-04T13:54:05.894994 [PERF] json_scope story_graph load: 1ms | graph.to_dict: 1ms
2026-04-04T13:54:05.917757 [PERF] json_bot scope.load: 0ms | scope.to_dict: 24ms
2026-04-04T13:54:05.931167 [PERF] scope file read+parse: 0ms | filter: 0ms
2026-04-04T13:54:05.932096 [PERF] json_story_graph StoryMap build: 0ms | serialize epics: 0ms
